iter	Logloss
0	0.670348491
1	0.6479821751
2	0.6277893266
3	0.6082862929
4	0.5900462094
5	0.5711015709
6	0.5546730137
7	0.5375679565
8	0.5253280195
9	0.511994993
10	0.4988224
11	0.4866365076
12	0.4747524809
13	0.4623885578
14	0.452016787
15	0.4413130927
16	0.4331948328
17	0.4239577916
18	0.4163664685
19	0.4074460992
20	0.3995095288
21	0.3919331325
22	0.3844972258
23	0.3765588686
24	0.3691634664
25	0.3625971475
26	0.3565784215
27	0.3507954897
28	0.3453680023
29	0.3397373091
30	0.3342753563
31	0.3288358866
32	0.3241379029
33	0.318705859
34	0.3141522717
35	0.3098580309
36	0.3067196651
37	0.302968839
38	0.2987679513
39	0.2947787339
40	0.2918671486
41	0.2879356326
42	0.2848591837
43	0.2816442228
44	0.2788306973
45	0.2757379228
46	0.2728050825
47	0.2703142198
48	0.2680422577
49	0.2648631718
50	0.2626196038
51	0.2601352192
52	0.2576817284
53	0.2555303329
54	0.2533334363
55	0.2512798129
56	0.2490714964
57	0.2472759784
58	0.2453534989
59	0.2433964539
60	0.2415635186
61	0.2400321657
62	0.2379482579
63	0.2366551714
64	0.2346191832
65	0.2332488373
66	0.2313729497
67	0.2301614134
68	0.2293406763
69	0.2279527155
70	0.2266527627
71	0.2250834643
72	0.2237616828
73	0.2223840576
74	0.2212445514
75	0.2195532686
76	0.2190083702
77	0.2173786491
78	0.2160424066
79	0.2145735185
80	0.2134915112
81	0.2131991602
82	0.2121297844
83	0.2112851735
84	0.2107799497
85	0.2100338747
86	0.2089542716
87	0.2083313065
88	0.2076328813
89	0.2070321728
90	0.2063654824
91	0.2058064807
92	0.2050960387
93	0.2043877168
94	0.2037721665
95	0.202928884
96	0.202201853
97	0.2019588563
98	0.2016161862
99	0.2010790823
100	0.1999984145
101	0.1995554203
102	0.1984982291
103	0.1986369343
104	0.1982331671
105	0.1981951604
106	0.1980174036
107	0.1971468649
108	0.1967042004
109	0.1960695977
110	0.1957078857
111	0.194788568
112	0.1950533836
113	0.1944858412
114	0.1936862112
115	0.1937198034
116	0.1932918812
117	0.1930254289
118	0.1925224493
119	0.1923871986
120	0.192362065
121	0.1916103714
122	0.1910316559
123	0.1902644472
124	0.19015521
125	0.1902307345
126	0.1902189556
127	0.1901235928
128	0.1902468186
129	0.190310319
130	0.1898926104
131	0.1896957858
132	0.1899743779
133	0.1896967688
134	0.1897618729
135	0.1893005014
136	0.1890566899
137	0.1887241132
138	0.1885161826
139	0.1884709486
140	0.1887614182
141	0.188504758
142	0.1882152953
143	0.1881072141
144	0.1880844197
145	0.1877680928
146	0.1874244434
147	0.18755585
148	0.1871797358
149	0.1869489901
150	0.1868622824
151	0.1864736346
152	0.1863927301
153	0.1860969716
154	0.1856907872
155	0.185756516
156	0.1856445117
157	0.1854368239
158	0.1856450123
159	0.1855078468
160	0.1853878001
161	0.1853269652
162	0.1855863454
163	0.1854146982
164	0.1856274952
165	0.1859489487
166	0.1855239278
167	0.1853061299
168	0.1849793645
169	0.1848166088
