iter	Passed	Remaining
0	165	66146
1	205	40917
2	245	32529
3	283	28033
4	322	25448
5	359	23583
6	398	22400
7	439	21537
8	477	20747
9	515	20105
10	554	19596
11	591	19114
12	630	18779
13	669	18453
14	707	18153
15	746	17907
16	784	17663
17	822	17462
18	864	17341
19	905	17204
20	945	17055
21	982	16876
22	1022	16753
23	1061	16629
24	1101	16528
25	1141	16425
26	1181	16328
27	1221	16229
28	1259	16115
29	1297	16007
30	1338	15930
31	1378	15849
32	1417	15760
33	1456	15676
34	1493	15570
35	1530	15476
36	1536	15074
37	1578	15035
38	1618	14982
39	1658	14923
40	1697	14862
41	1736	14797
42	1774	14730
43	1816	14700
44	1857	14650
45	1896	14592
46	1935	14536
47	1972	14467
48	2013	14422
49	2055	14386
50	2094	14330
51	2132	14273
52	2170	14211
53	2210	14163
54	2249	14108
55	2291	14078
56	2333	14043
57	2374	14002
58	2412	13944
59	2453	13904
60	2491	13844
61	2532	13806
62	2572	13759
63	2609	13702
64	2629	13550
65	2667	13497
66	2708	13459
67	2748	13420
68	2786	13368
69	2824	13316
70	2865	13276
71	2903	13226
72	2943	13184
73	2983	13144
74	3025	13111
75	3063	13061
76	3100	13007
77	3138	12956
78	3181	12925
79	3222	12890
80	3261	12846
81	3300	12799
82	3339	12754
83	3378	12711
84	3419	12671
85	3460	12634
86	3498	12586
87	3537	12541
88	3575	12493
89	3613	12446
90	3655	12412
91	3696	12373
92	3735	12329
93	3773	12282
94	3810	12234
95	3850	12191
96	3892	12158
97	3932	12118
98	3971	12075
99	4012	12037
100	4050	11990
101	4087	11942
102	4130	11911
103	4170	11868
104	4210	11829
105	4249	11785
106	4287	11741
107	4325	11694
108	4346	11605
109	4387	11568
110	4429	11531
111	4449	11440
112	4468	11348
113	4505	11303
114	4543	11260
115	4587	11230
116	4628	11195
117	4667	11154
118	4705	11110
119	4743	11068
120	4782	11026
121	4824	10992
122	4864	10954
123	4902	10911
124	4940	10868
125	4977	10823
126	5017	10785
127	5059	10750
128	5099	10712
129	5137	10671
130	5177	10630
131	5217	10592
132	5255	10550
133	5297	10515
134	5338	10478
135	5376	10437
136	5415	10395
137	5454	10356
138	5493	10315
139	5537	10283
140	5580	10250
141	5626	10223
142	5665	10182
143	5704	10141
144	5744	10101
145	5783	10062
146	5826	10028
147	5867	9990
148	5906	9950
149	5948	9913
150	5989	9876
151	6008	9803
152	6049	9765
153	6087	9724
154	6127	9684
155	6169	9649
156	6210	9613
157	6250	9574
158	6290	9535
159	6330	9495
160	6371	9458
161	6413	9422
162	6454	9385
163	6494	9345
164	6532	9303
165	6570	9262
166	6610	9223
167	6651	9185
168	6691	9145
169	6730	9106
